sample,treatment,replicate,rack,height2,leaf2,chloro2
141-1-r4,141,1,4,4.8,18,39.6
141-2-r4,141,2,4,5,12,41.9
141-3-r4,141,3,4,5.4,12,40.6
141-4-r4,141,4,4,5.2,15,38.5
141-5-r4,141,5,4,5.3,18,39.4
141-6-r12,141,6,12,3.1,9,35.5
141-7-r12,141,7,12,2.3,11,36.4
141-8-r12,141,8,12,4.5,12,36.3
141-9-r12,141,9,12,4.5,15,33.5
141-10-r12,141,10,12,4,11,33
141-11-r16,141,11,16,4.3,12,35.1
141-12-r16,141,12,16,5,15,32.5
141-13-r16,141,13,16,NA,NA,NA
141-14-r16,141,14,16,3.9,16,36.9
141-15-r16,141,15,16,3.1,9,34.3
141-16-r19,141,16,19,4.2,12,35.7
141-17-r19,141,17,19,5.1,12,39.4
141-18-r19,141,18,19,4.4,12,36.7
141-19-r19,141,19,19,4.7,12,36.1
141-20-r19,141,20,19,4.3,15,32.8
522-1-r11,522,1,11,4,12,38.2
522-2-r11,522,2,11,4.8,12,38.4
522-3-r11,522,3,11,3.3,12,37.1
522-4-r11,522,4,11,3.1,9,33.9
522-5-r11,522,5,11,4.5,12,33
522-6-r3,522,6,3,4.3,14,25.2
522-7-r3,522,7,3,4,12,31.7
522-8-r3,522,8,3,3.2,9,36.2
522-9-r3,522,9,3,3.8,12,38.3
522-10-r3,522,10,3,3.3,12,29.5
522-11-r36,522,11,36,3.7,13,29
522-12-r36,522,12,36,3.8,12,34.1
522-13-r36,522,13,36,3.8,12,35.5
522-14-r36,522,14,36,3.1,9,43.9
522-15-r36,522,15,36,3.8,12,31.1
522-16-r9,522,16,9,3,9,26.2
522-17-r9,522,17,9,4.6,12,34.1
522-18-r9,522,18,9,3.9,9,31.3
522-19-r9,522,19,9,4.1,12,38.4
522-20-r9,522,20,9,2.9,9,32.6
702-1-r31,702,1,31,4,12,34.2
702-2-r31,702,2,31,3.8,12,38.3
702-3-r31,702,3,31,3.4,12,34.1
702-4-r31,702,4,31,3.5,9,33
702-5-r31,702,5,31,3.3,12,33.8
702-6-r37,702,6,37,3.5,9,32.1
702-7-r37,702,7,37,2.1,9,38.6
702-8-r37,702,8,37,3.2,9,37.2
702-9-r37,702,9,37,3.1,9,29.9
702-10-r37,702,10,37,3.6,12,31.8
702-11-r35,702,11,35,4,9,36.1
702-12-r35,702,12,35,3.3,12,34.6
702-13-r35,702,13,35,3.5,9,33.3
702-14-r35,702,14,35,2.4,9,31.8
702-15-r35,702,15,35,3.6,11,33.8
702-16-r13,702,16,13,3,9,43.6
702-17-r13,702,17,13,2.3,9,35.4
702-18-r13,702,18,13,3.8,12,34.5
702-19-r13,702,19,13,2.9,12,32.4
702-20-r13,702,20,13,3.4,9,33.9
717-1-r24,717,1,24,2.2,9,32.8
717-2-r24,717,2,24,3.3,9,32
717-3-r24,717,3,24,3.3,9,37.6
717-4-r24,717,4,24,3.2,9,38.4
717-5-r24,717,5,24,3,14,35.7
717-6-r33,717,6,33,5,12,39.2
717-7-r33,717,7,33,3.7,12,34.7
717-8-r33,717,8,33,3.5,9,32.9
717-9-r33,717,9,33,2.9,9,36.7
717-10-r33,717,10,33,3.9,12,33.5
717-11-r21,717,11,21,4,12,34
717-12-r21,717,12,21,4.1,9,34.4
717-13-r21,717,13,21,2.9,9,29.2
717-14-r21,717,14,21,2.8,9,30.9
717-15-r21,717,15,21,3.4,9,47.4
717-16-r30,717,16,30,4.6,10,29.4
717-17-r30,717,17,30,1.1,6,NA
717-18-r30,717,18,30,5,12,27.6
717-19-r30,717,19,30,3.5,12,31.4
717-20-r30,717,20,30,2.3,6,34.2
733-1-r5,733,1,5,2.8,9,33.8
733-2-r5,733,2,5,4,13,37.2
733-3-r5,733,3,5,3.2,9,37.8
733-4-r5,733,4,5,3.4,12,32
733-5-r5,733,5,5,3.8,12,34
733-6-r1,733,6,1,4.4,12,33.5
733-7-r1,733,7,1,4.2,12,36.1
733-8-r1,733,8,1,4,12,38.7
733-9-r1,733,9,1,4.3,12,37.8
733-10-r1,733,10,1,4.3,12,37.7
733-11-r25,733,11,25,2.4,11,34.8
733-12-r25,733,12,25,2.6,9,34.3
733-13-r25,733,13,25,3.6,9,31
733-14-r25,733,14,25,3.1,9,35.7
733-15-r25,733,15,25,2.6,9,37.8
733-16-r27,733,16,27,3.2,9,33.3
733-17-r27,733,17,27,3.3,12,35
733-18-r27,733,18,27,2.1,9,35.1
733-19-r27,733,19,27,3.3,12,35.2
733-20-r27,733,20,27,2.3,6,30.3
522co141-1-r20,522co141,1,20,4.5,9,35.9
522co141-2-r20,522co141,2,20,5.2,12,34.3
522co141-3-r20,522co141,3,20,6,15,35.3
522co141-4-r20,522co141,4,20,5.4,12,37.2
522co141-5-r20,522co141,5,20,3.9,11,38.9
522co141-6-r18,522co141,6,18,5.3,15,37.4
522co141-7-r18,522co141,7,18,4.6,12,39.1
522co141-8-r18,522co141,8,18,5,12,38.9
522co141-9-r18,522co141,9,18,5,12,42
522co141-10-r18,522co141,10,18,4.4,12,38.5
522co141-11-r39,522co141,11,39,3.6,9,33.4
522co141-12-r39,522co141,12,39,5,14,32.5
522co141-13-r39,522co141,13,39,3.5,12,37.9
522co141-14-r39,522co141,14,39,4.3,12,35.7
522co141-15-r39,522co141,15,39,2.7,9,35.5
522co141-16-r22,522co141,16,22,3.6,12,38.5
522co141-17-r22,522co141,17,22,3.7,9,43.8
522co141-18-r22,522co141,18,22,3.8,9,34.8
522co141-19-r22,522co141,19,22,3.8,12,33.9
522co141-20-r22,522co141,20,22,5.3,12,42.7
702co141-1-r10,702co141,1,10,4.2,9,33.6
702co141-2-r10,702co141,2,10,3.5,9,38.3
702co141-3-r10,702co141,3,10,4.4,12,34
702co141-4-r10,702co141,4,10,4.5,12,33.8
702co141-5-r10,702co141,5,10,5,12,32.9
702co141-6-r14,702co141,6,14,4.6,12,43.3
702co141-7-r14,702co141,7,14,4,14,39.1
702co141-8-r14,702co141,8,14,4,11,34.9
702co141-9-r14,702co141,9,14,5.7,14,42.1
702co141-10-r14,702co141,10,14,3.3,9,39.3
702co141-11-r32,702co141,11,32,4.7,12,32.9
702co141-12-r32,702co141,12,32,4.3,12,33.3
702co141-13-r32,702co141,13,32,4.6,12,36.1
702co141-14-r32,702co141,14,32,4.9,12,37
702co141-15-r32,702co141,15,32,6,15,41
702co141-16-r2,702co141,16,2,4.5,12,43.4
702co141-17-r2,702co141,17,2,5.6,12,41.7
702co141-18-r2,702co141,18,2,5.2,12,41.9
702co141-19-r2,702co141,19,2,3.9,12,43.4
702co141-20-r2,702co141,20,2,4.9,12,39.1
717co141-1-r29,717co141,1,29,4.7,12,35.3
717co141-2-r29,717co141,2,29,4.4,14,36
717co141-3-r29,717co141,3,29,5.1,9,33.8
717co141-4-r29,717co141,4,29,5.3,12,35.8
717co141-5-r29,717co141,5,29,4.5,12,34.9
717co141-6-r8,717co141,6,8,0.6,1,NA
717co141-7-r8,717co141,7,8,3.1,9,34.8
717co141-8-r8,717co141,8,8,4.5,12,37.7
717co141-9-r8,717co141,9,8,3.1,9,34.1
717co141-10-r8,717co141,10,8,4.5,12,36.2
717co141-11-r28,717co141,11,28,4.4,12,40.9
717co141-12-r28,717co141,12,28,5.6,12,31.8
717co141-13-r28,717co141,13,28,3,9,29.2
717co141-14-r28,717co141,14,28,6.1,12,39.2
717co141-15-r28,717co141,15,28,3.5,9,41.5
717co141-16-r26,717co141,16,26,4.3,12,31.5
717co141-17-r26,717co141,17,26,4.7,12,34.1
717co141-18-r26,717co141,18,26,3.1,9,35.6
717co141-19-r26,717co141,19,26,3.4,12,32.3
717co141-20-r26,717co141,20,26,3,9,36.2
733co141-1-r7,733co141,1,7,4.3,9,43.8
733co141-2-r7,733co141,2,7,4.4,12,36.4
733co141-3-r7,733co141,3,7,4.4,12,36.8
733co141-4-r7,733co141,4,7,3.3,12,31.5
733co141-5-r7,733co141,5,7,4.3,12,31.4
733co141-6-r17,733co141,6,17,4.7,12,34.1
733co141-7-r17,733co141,7,17,3.3,9,36.2
733co141-8-r17,733co141,8,17,2.2,9,31.1
733co141-9-r17,733co141,9,17,4.6,12,36.1
733co141-10-r17,733co141,10,17,5.2,15,40.3
733co141-11-r38,733co141,11,38,5.1,12,31.7
733co141-12-r38,733co141,12,38,3.2,9,33.3
733co141-13-r38,733co141,13,38,3.2,12,39.4
733co141-14-r38,733co141,14,38,4.8,12,38.3
733co141-15-r38,733co141,15,38,4.4,12,35.4
733co141-16-r40,733co141,16,40,5.8,12,30.6
733co141-17-r40,733co141,17,40,5.8,12,39.1
733co141-18-r40,733co141,18,40,2.7,12,30.1
733co141-19-r40,733co141,19,40,4.2,9,33.3
733co141-20-r40,733co141,20,40,5.2,12,31.2
InCtrl-1-r15,InCtrl,1,15,3.3,12,38.3
InCtrl-2-r15,InCtrl,2,15,3.9,12,30.9
InCtrl-3-r15,InCtrl,3,15,2.4,9,31.2
InCtrl-4-r15,InCtrl,4,15,3,9,33.7
InCtrl-5-r15,InCtrl,5,15,4.4,12,38.9
InCtrl-6-r23,InCtrl,6,23,3.3,9,33.3
InCtrl-7-r23,InCtrl,7,23,3.4,12,36.5
InCtrl-8-r23,InCtrl,8,23,4,12,31.6
InCtrl-9-r23,InCtrl,9,23,3.4,9,35.6
InCtrl-10-r23,InCtrl,10,23,3.8,12,35.1
InCtrl-11-r34,InCtrl,11,34,2.8,6,34.2
InCtrl-12-r34,InCtrl,12,34,3.9,11,33.2
InCtrl-13-r34,InCtrl,13,34,3.2,12,29.2
InCtrl-14-r34,InCtrl,14,34,3.3,12,33.6
InCtrl-15-r34,InCtrl,15,34,3.6,12,31
InCtrl-16-r6,InCtrl,16,6,3,6,37.7
InCtrl-17-r6,InCtrl,17,6,3.3,12,37
InCtrl-18-r6,InCtrl,18,6,4.3,12,33.2
InCtrl-19-r6,InCtrl,19,6,4,12,32.7
InCtrl-20-r6,InCtrl,20,6,3.3,12,34.4
ExCtrl-1-r41,ExCtrl,1,41,4.3,12,37.4
ExCtrl-2-r41,ExCtrl,2,41,3.3,10,40.4
ExCtrl-3-r41,ExCtrl,3,41,3.3,12,38.3
ExCtrl-4-r41,ExCtrl,4,41,2.2,9,38.2
ExCtrl-5-r41,ExCtrl,5,41,3.5,9,41.4
ExCtrl-6-r42,ExCtrl,6,42,3.4,9,31.7
ExCtrl-7-r42,ExCtrl,7,42,2.1,8,45.5
ExCtrl-8-r42,ExCtrl,8,42,3.7,12,33.7
ExCtrl-9-r42,ExCtrl,9,42,2,9,40.4
ExCtrl-10-r42,ExCtrl,10,42,4.2,12,32.3
